N3.2.1.5.4.15.11,35° 49′ S,209° 23′W
N3.2.1.5.4.15.15,35° 35′ S,209° 23′W
N3.2.1.5.4.15.17,35° 27′ S,209° 23′W
N3.2.1.5.4.15.27,35° 38′
N3.2.1.5.4.16.3,35° 10′S,208° 51′ W
N3.2.1.5.4.16.9,35° 19′ S,209° 42′W
N3.2.1.5.4.17.3,34° 22′ S,186° 55′ W
N3.2.1.5.4.17.7,35° 6′,208° 45′W
N3.2.1.5.4.17.9,34° 29′,208° 45′W
N3.2.1.5.4.17.17,34° 10′ S,208° 27′ W
N3.2.1.5.4.28.3,34° S,11° 3′ E
N3.2.1.5.4.37.3,34° S,11° 3′ E
N3.2.1.5.6.4.5,33° 50′ S,8° E
N3.2.1.5.6.4.9,33° 42′
N3.2.1.5.6.5.7,33° 22′ S,8° 25′ E
N3.2.1.5.6.6.5,33° 2′ S,8° E
N3.2.1.5.6.6.9,32° 53′ S,208° W
N3.2.1.5.6.6.13,32° 40′,207° 51′
N3.2.1.5.6.6.19,32° 14′ S,207° 30′ W
N3.2.1.5.6.6.23,32° 2′ S,9° 10′ E
N3.2.1.5.6.6.27,31° 40′
N3.2.1.5.6.7.4,31° 18′ S,206° 58′ W
N3.2.1.5.6.7.8,30° 43′ S,206° 45′ W
N3.2.1.5.6.7.12,30° 31′ S,206° 54′ W
N3.2.1.5.6.9.5,30° 22′,206° 39′ W
N3.2.1.5.6.10.3,30° 10′,206° 27′W
N3.2.1.5.6.10.5,29° 58′,206° 27′W
N3.2.1.5.6.10.9,28° 39′ S,206° 27′W
N3.2.1.5.6.10.13,28° 37′ 30″ S.,206° 30′ W
N3.2.1.5.6.10.19,28° 8′ S
N3.2.1.5.6.10.21,28° 22′ S
N3.2.1.5.6.11.3,27° 46′ S,206° 20′ W
N3.2.1.5.6.11.7,27° 6′,206° 28′
N3.2.1.5.6.11.11,26° 56′,206° 28′
N3.2.1.5.6.11.15,26° 53′,206° 46′
N3.2.1.5.6.11.19,26° 28′ S,206° 46′
N3.2.1.5.6.13.3,25° 58′,206° 48′ W
N3.2.1.5.6.13.9,25° 34′ S,206° 45′ W
N3.2.1.5.6.14.5,25° 4′,206° 51′
N3.2.1.5.6.14.7,25° 3′,206° 51′
N3.2.1.5.6.14.11,20° 26′,206° 51′
N3.2.1.5.6.14.13,24° 45′,206° 51′
N3.2.1.5.6.14.17,24° 22′
N3.2.1.5.6.14.21,24° 28′S
N3.2.1.5.6.14.25,24° 36′
N3.2.1.5.6.15.3,24° 19′
N3.2.1.5.6.16.7,24° 4′,208° 18′
N3.2.1.5.6.18.5,23° 52′ S,208° 37′
N3.2.1.5.6.19.5,23° 24′ S
N3.2.1.5.6.20.3,23° 7′ S
N3.2.1.5.6.21.5,22° 53′ S
N3.2.1.5.6.21.7,22° 43′ S
N3.2.1.5.6.22.5,22° 15′,209° 43′
